"""ds"",""y"""
"""2021-09-27"",8.87"
"""2021-09-28"",8.83"
"""2021-09-29"",8.78"
"""2021-09-30"",8.93"
"""2021-10-01"",9.02"
"""2021-10-04"",9.37"
"""2021-10-05"",9.35"
"""2021-10-06"",9.34"
"""2021-10-07"",9.37"
"""2021-10-08"",9.8"
"""2021-10-11"",9.95"
"""2021-10-12"",10.01"
"""2021-10-13"",9.99"
"""2021-10-14"",10.05"
"""2021-10-15"",10.4"
"""2021-10-18"",10.48"
"""2021-10-19"",10.07"
"""2021-10-20"",10.27"
"""2021-10-21"",10.04"
"""2021-10-22"",9.97"
"""2021-10-25"",9.85"
"""2021-10-26"",9.85"
"""2021-10-27"",9.89"
"""2021-10-28"",9.99"
"""2021-10-29"",9.81"
"""2021-11-02"",9.92"
"""2021-11-03"",9.85"
"""2021-11-04"",10.32"
"""2021-11-05"",10.22"
"""2021-11-08"",10.1"
"""2021-11-09"",10.21"
"""2021-11-10"",9.8"
"""2021-11-12"",9.61"
"""2021-11-15"",9.39"
"""2021-11-16"",9.38"
"""2021-11-17"",9.42"
"""2021-11-18"",9.4"
"""2021-11-19"",9.3"
"""2021-11-22"",8.95"
"""2021-11-23"",9.01"
"""2021-11-24"",9"
"""2021-11-25"",8.4"
"""2021-11-26"",7.99"
"""2021-11-29"",8.07"
"""2021-11-30"",8.07"
"""2021-12-01"",8.69"
"""2021-12-02"",8.48"
"""2021-12-03"",8.14"
"""2021-12-06"",8.3"
"""2021-12-07"",8.25"
"""2021-12-08"",8.15"
"""2021-12-09"",7.83"
"""2021-12-10"",8.1"
"""2021-12-13"",7.85"
"""2021-12-14"",7.84"
"""2021-12-15"",7.5"
"""2021-12-16"",7.74"
"""2021-12-17"",7.7"
"""2021-12-20"",7.97"
"""2021-12-21"",7.79"
"""2021-12-22"",7.64"
"""2021-12-23"",7.93"
"""2021-12-24"",7.93"
"""2021-12-27"",7.72"
"""2021-12-28"",7.91"
"""2021-12-29"",8.09"
"""2021-12-30"",8.06"
"""2021-12-31"",8.06"
"""2022-01-03"",8.17"
"""2022-01-04"",8.18"
"""2022-01-05"",8.12"
"""2022-01-07"",8.1"
"""2022-01-10"",7.95"
"""2022-01-11"",8.05"
"""2022-01-12"",8.37"
"""2022-01-13"",8.34"
"""2022-01-14"",8.4"
"""2022-01-17"",8.26"
"""2022-01-18"",8.13"
"""2022-01-19"",7.72"
"""2022-01-20"",8.04"
"""2022-01-21"",7.97"
"""2022-01-24"",7.6"
"""2022-01-25"",7.72"
"""2022-01-26"",7.72"
"""2022-01-27"",7.69"
"""2022-01-28"",7.64"
"""2022-01-31"",7.65"
"""2022-02-01"",7.56"
"""2022-02-02"",7.48"
"""2022-02-03"",7.93"
"""2022-02-04"",7.52"
"""2022-02-07"",7.76"
"""2022-02-08"",7.83"
"""2022-02-09"",8.1"
"""2022-02-10"",8"
"""2022-02-11"",8"
"""2022-02-14"",7.77"
"""2022-02-15"",7.94"
"""2022-02-16"",7.95"
"""2022-02-17"",7.59"
"""2022-02-18"",7.55"
"""2022-02-21"",7.2"
"""2022-02-22"",7.49"
"""2022-02-23"",7.21"
"""2022-02-24"",6.57"
"""2022-02-25"",7.08"
"""2022-02-28"",8.16"
"""2022-03-01"",8.26"
"""2022-03-02"",9.55"
"""2022-03-03"",9.5"
"""2022-03-04"",9.13"
"""2022-03-07"",9.63"
"""2022-03-08"",9.15"
"""2022-03-09"",9.17"
"""2022-03-10"",9.36"
"""2022-03-11"",9.8"
"""2022-03-14"",9.34"
"""2022-03-15"",9.4"
"""2022-03-16"",9.42"
"""2022-03-17"",9.88"
"""2022-03-18"",9.76"
"""2022-03-21"",9.73"
"""2022-03-22"",9.7"
"""2022-03-23"",9.8"
"""2022-03-24"",9.86"
"""2022-03-25"",9.43"
"""2022-03-28"",9.3"
"""2022-03-29"",9.11"
"""2022-03-30"",9.34"
"""2022-03-31"",9.12"
"""2022-04-01"",9.27"
"""2022-04-04"",8.9"
"""2022-04-05"",9.04"
"""2022-04-06"",9.2"
"""2022-04-07"",8.56"
"""2022-04-08"",8.87"
"""2022-04-11"",9.4"
"""2022-04-12"",9.43"
"""2022-04-13"",9.37"
"""2022-04-14"",9.32"
"""2022-04-15"",9.32"
"""2022-04-18"",9.32"
"""2022-04-19"",9.25"
"""2022-04-20"",9.27"
"""2022-04-21"",8.99"
"""2022-04-22"",8.99"
"""2022-04-25"",9.6"
"""2022-04-26"",9.39"
"""2022-04-27"",9.49"
"""2022-04-28"",9.9"
"""2022-04-29"",9.88"
"""2022-05-02"",9.4"
"""2022-05-04"",9.66"
"""2022-05-05"",9.32"
"""2022-05-06"",9.28"
"""2022-05-09"",9.29"
"""2022-05-10"",9.17"
"""2022-05-11"",8.82"
"""2022-05-12"",8.71"
"""2022-05-13"",9.48"
"""2022-05-16"",9.64"
"""2022-05-17"",9.35"
"""2022-05-18"",9.85"
"""2022-05-19"",9.53"
"""2022-05-20"",9.67"
"""2022-05-23"",10.38"
"""2022-05-24"",10.26"
"""2022-05-25"",9.84"
"""2022-05-26"",10.27"
"""2022-05-27"",10"
"""2022-05-30"",10.37"
"""2022-05-31"",10.11"
"""2022-06-01"",10.16"
"""2022-06-02"",10.06"
"""2022-06-03"",10.57"
"""2022-06-06"",10.5"
"""2022-06-07"",10.32"
"""2022-06-08"",10.16"
"""2022-06-09"",10.27"
"""2022-06-10"",10.27"
"""2022-06-13"",10.21"
"""2022-06-14"",10.35"
"""2022-06-15"",10.55"
"""2022-06-17"",10.87"
"""2022-06-20"",10.82"
"""2022-06-21"",11.02"
"""2022-06-22"",10.73"
"""2022-06-23"",10.71"
"""2022-06-24"",10.93"
"""2022-06-27"",11.03"
"""2022-06-28"",10.81"
"""2022-06-29"",10.76"
"""2022-06-30"",10.65"
"""2022-07-01"",10.88"
"""2022-07-04"",10.54"
"""2022-07-05"",10.5"
"""2022-07-06"",9.88"
"""2022-07-07"",10.3"
"""2022-07-08"",10.35"
"""2022-07-11"",9.79"
"""2022-07-12"",9.96"
"""2022-07-13"",9.84"
"""2022-07-14"",10.05"
"""2022-07-15"",9.94"
"""2022-07-18"",10.26"
"""2022-07-19"",10.54"
"""2022-07-20"",10.52"
"""2022-07-21"",10.36"
"""2022-07-22"",10.54"
"""2022-07-25"",10.33"
"""2022-07-26"",10.54"
"""2022-07-27"",10.47"
"""2022-07-28"",10.16"
"""2022-07-29"",10.34"
"""2022-08-01"",10.2"
"""2022-08-02"",9.9"
"""2022-08-03"",9.93"
"""2022-08-04"",9.51"
"""2022-08-05"",9.55"
"""2022-08-08"",9.8"
"""2022-08-09"",9.73"
"""2022-08-10"",9.57"
"""2022-08-11"",9.63"
"""2022-08-12"",9.73"
"""2022-08-16"",9.63"
"""2022-08-17"",9.58"
"""2022-08-18"",9.45"
"""2022-08-19"",8.96"
"""2022-08-22"",8.69"
"""2022-08-23"",8.68"
"""2022-08-24"",8.27"
"""2022-08-25"",8.17"
"""2022-08-26"",7.65"
"""2022-08-29"",7.48"
"""2022-08-30"",7.2"
"""2022-08-31"",7.17"
"""2022-09-01"",7.04"
"""2022-09-02"",7.21"
"""2022-09-05"",7.07"
"""2022-09-06"",6.72"
"""2022-09-07"",7.22"
"""2022-09-08"",7.19"
"""2022-09-09"",7.63"
"""2022-09-12"",7.23"
"""2022-09-13"",6.93"
"""2022-09-14"",6.91"
"""2022-09-15"",6.82"
"""2022-09-16"",6.66"
"""2022-09-19"",7.05"
"""2022-09-20"",6.88"
"""2022-09-21"",6.93"
"""2022-09-22"",7.04"
"""2022-09-23"",6.9"
"""2022-09-26"",6.43"
"""2022-09-27"",6.52"
"""2022-09-28"",6.5"
"""2022-09-29"",6.2"
"""2022-09-30"",6.28"
"""2022-10-03"",6.38"
"""2022-10-04"",6.49"
"""2022-10-05"",6.36"
"""2022-10-06"",6.3"
"""2022-10-07"",6.13"
"""2022-10-10"",5.82"
"""2022-10-11"",5.75"
"""2022-10-12"",5.66"
"""2022-10-13"",5.42"
"""2022-10-14"",5.33"
"""2022-10-17"",5.59"
"""2022-10-18"",5.23"
"""2022-10-19"",4.95"
"""2022-10-20"",4.88"
"""2022-10-21"",4.74"
"""2022-10-24"",4.74"
"""2022-10-25"",5.05"
"""2022-10-26"",5.2"
"""2022-10-27"",5.17"
"""2022-10-28"",5.33"
"""2022-10-31"",5.45"
"""2022-11-02"",5.84"
"""2022-11-03"",5.8"
"""2022-11-04"",6.19"
"""2022-11-07"",5.76"
"""2022-11-08"",5.89"
"""2022-11-09"",6.01"
"""2022-11-10"",6.25"
"""2022-11-14"",6.27"
"""2022-11-15"",6.31"
"""2022-11-16"",6.33"
"""2022-11-17"",6.6"
"""2022-11-18"",6.48"
